sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2023 20:00:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	  11485(50)	     631(0)	   5334(28)	  15249(74)	     0(0)	   309(0)	   122(0)	
 +rst_n_piple_inst:rst_n_piple                              	     32(32)	       0(0)	       0(0)	 2638(2638)	     0(0)	     0(0)	     0(0)	
 +rst_n_hdmi_rx_slow_clk:rst_n_piple                        	       3(3)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
 +rst_n_hdmi_tx_slow_clk:rst_n_piple                        	       3(3)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
 +u_hdmi_rx:hdmi_rx                                         	     89(26)	       0(0)	     32(25)	     78(33)	     0(0)	     1(0)	     0(0)	
  +u_I2Cslave_edid:I2Cslave(I2C_ADDR=7'b1010000)            	     63(63)	       0(0)	       7(7)	     45(45)	     0(0)	     0(0)	     0(0)	
  +u_simple_dual_port_ram:simple_dual_port_ram(RAM_INIT_FILE="./ram_init_file.inithex")	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_dvi_decoder:dvi_decoder                                 	     421(1)	       0(0)	     201(0)	     336(0)	     0(0)	     3(0)	     0(0)	
  +u_tmds_decoder_0:tmds_decoder(kCtlTknCount=300)          	     143(0)	       0(0)	      67(0)	     115(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     55(55)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     67(67)	     32(32)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	       8(8)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     16(16)	       0(0)	       0(0)	     18(18)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_tmds_decoder_1:tmds_decoder(kCtlTknCount=300)          	     140(0)	       0(0)	      67(0)	     112(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     56(56)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     67(67)	     32(32)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	     11(11)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     10(10)	       0(0)	       0(0)	     12(12)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_tmds_decoder_2:tmds_decoder(kCtlTknCount=300)          	     137(0)	       0(0)	      67(0)	     109(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     56(56)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     67(67)	     32(32)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	       8(8)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     10(10)	       0(0)	       0(0)	     12(12)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +i33:my_rgb_to_yuv422                                      	     180(0)	       3(0)	     137(0)	      54(0)	     0(0)	     0(0)	     7(0)	
  +inst1:rgb_to_ycbcr                                       	   120(120)	       1(1)	   119(119)	     45(45)	     0(0)	     0(0)	     7(7)	
  +inst2:yuv444_yuv422                                      	     60(60)	       2(2)	     18(18)	       9(9)	     0(0)	     0(0)	     0(0)	
 +i34:my_yuv422_to_rgb                                      	     160(0)	       2(0)	     132(0)	     103(0)	     0(0)	     0(0)	     5(0)	
  +inst1:yuv422_2_ycbcr444                                  	     74(74)	       2(2)	       0(0)	     52(52)	     0(0)	     0(0)	     0(0)	
  +inst2:ycbcr_to_rgb                                       	     86(86)	       0(0)	   132(132)	     51(51)	     0(0)	     0(0)	     5(5)	
 +inf_control_inst:inf_control                              	    141(44)	       0(0)	    112(63)	   415(195)	     0(0)	     0(0)	     0(0)	
  +led_ctrl_inst:led_ctrl                                   	     23(21)	       0(0)	     20(20)	     28(28)	     0(0)	     0(0)	     0(0)	
   +edge_gen_inst1:edge_gen                                 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
  +inf_rev_inst:inf_rev                                     	     74(72)	       0(0)	     29(29)	   192(187)	     0(0)	     0(0)	     0(0)	
   +edge_gen_inst1:edge_gen                                 	       2(2)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
 +x_radio_calculator:radio_calculator                       	     140(0)	       0(0)	     329(0)	     448(0)	     0(0)	     0(0)	     0(0)	
  +u_divider:divider_00183e7ed1594d86b469112a8f19569f(WIDTHN=27,WIDTHD=11,LATENCY=7,PIPELINE=1'b1)	   140(140)	       0(0)	   329(329)	   448(448)	     0(0)	     0(0)	     0(0)	
 +y_radio_calculator:radio_calculator                       	     177(0)	       1(0)	     399(0)	     543(0)	     0(0)	     0(0)	     0(0)	
  +u_divider:divider_00183e7ed1594d86b469112a8f19569f(WIDTHN=27,WIDTHD=11,LATENCY=7,PIPELINE=1'b1)	   177(177)	       1(1)	   399(399)	   543(543)	     0(0)	     0(0)	     0(0)	
